,i,j,survey_track,rec_track,rankvalue_a,rankvalue_l,rankvalue
120,6,1,3S0OXQeoh0w6AY8WQVckRW,1EzrEOXmMH3G43AXT1y7pA,4.999985206516211,3.9902128905961294,4.4950990485561695
20,1,1,1ExfPZEiahqhLyajhybFeS,4piX3WwKpTInJ4KNiAqTI6,3.4751235384197043,4.1454026298677285,3.810263084143717
21,1,2,1ExfPZEiahqhLyajhybFeS,6HojDglE8E3EA7SbTLE8VF,3.4674421745772386,4.104798618943539,3.786120396760389
160,8,1,4FCb4CUbFCMNRkI6lYc1zI,6M4gZoCXQKlxZVBKu3JAcQ,3.708734407034127,3.8144091905061916,3.7615717987701593
220,11,1,5b88tNINg4Q4nrRbrCXUmg,5SrSCFXjjn76bK13engFQr,3.655416292338777,3.8536185758513932,3.7545174340950846
22,1,3,1ExfPZEiahqhLyajhybFeS,2SEXsl9UShqKSc3inzSpIX,3.4180435779315217,4.084348992072112,3.7511962850018166
121,6,2,3S0OXQeoh0w6AY8WQVckRW,732iQF09gPlc32IlBGoXvv,3.529673626437916,3.9417113116010407,3.735692469019479
122,6,3,3S0OXQeoh0w6AY8WQVckRW,5KsLlcmWDoHUoJFzRw14wD,3.5281277335878745,3.935616948368741,3.7318723409783083
23,1,4,1ExfPZEiahqhLyajhybFeS,5U0tKveVl4lw0DaWvb1Tex,3.383846932439801,4.069702250704671,3.7267745915722363
123,6,4,3S0OXQeoh0w6AY8WQVckRW,5Y4KPoGudwsnrNWtWXrcSi,3.5151464221887347,3.9303829771689496,3.7227646996788417
24,1,5,1ExfPZEiahqhLyajhybFeS,1LisgLkjosfSP1WxYXjqKE,3.357265102944338,4.069096992864098,3.7131810479042184
25,1,6,1ExfPZEiahqhLyajhybFeS,6JUnflvdkYvbzsp6zWpaCZ,3.3493548745853965,4.046761587057716,3.6980582308215566
124,6,5,3S0OXQeoh0w6AY8WQVckRW,1nBpOzhk48RP7WNT2OOw9W,3.45392765099015,3.925016502582212,3.689472076786181
26,1,7,1ExfPZEiahqhLyajhybFeS,7EzdQnopwog0YWUoRBEowX,3.3371149390982366,4.0330170567940895,3.685065997946163
221,11,2,5b88tNINg4Q4nrRbrCXUmg,40tlsTEclnd2cBglk2QSOY,3.5618479016539486,3.793994243085242,3.677921072369595
27,1,8,1ExfPZEiahqhLyajhybFeS,2UOytD96KzsV0PyDI9uPTu,3.3190407971073204,4.029561225193602,3.6743010111504613
28,1,9,1ExfPZEiahqhLyajhybFeS,0kOgBaBHZMxtFonNgTpFOT,3.3148022815965743,4.028817927460622,3.671810104528598
29,1,10,1ExfPZEiahqhLyajhybFeS,6PS9AdyOKTPwlDPfLzJ7Ow,3.3109002082112893,4.025402374959191,3.66815129158524
30,1,11,1ExfPZEiahqhLyajhybFeS,3VPfc6jUrM7IvgOs9z2jqT,3.310851880259208,4.023339152488498,3.667095516373853
125,6,6,3S0OXQeoh0w6AY8WQVckRW,60wtmXbcX9SBhdOe0koasN,3.402013783357116,3.922483347010944,3.6622485651840297
