track_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
6rUp7v3l8yC4TKxAAR5Bmx,roommate,kept,sigh,scream,make,feelings,still,dont,miss,stop,time,lie,hit,take,feeling,havent,missed,know,awake,get,yet,start,think,everything,every,love,hate,let,feel,miss
4FCb4CUbFCMNRkI6lYc1zI,heart,afraid,answer,reach,soul,sorrow,melt,long,road,face,world,alone,one,reaches,hand,love,search,within,emptiness,felt,disappear,lord,knows,dreams,hard,follow,let,anyone,tear,hey
1UMJ5XcJPmH6ZbIRsCLY5F,starin,begin,glow,could,tell,lovers,aint,hidin,nothin,dont,know,said,ended,left,say,love,strong,memories,still,upset,well,memory,long,cause,longe,saw,longer,spark,started,theres
3wF0zyjQ6FKLK4vFxcMojP,drugs,lust,feels,like,numbing,pain,hurt,long,forgot,strange,mean,cause,seen,inside,stood,beside,easy,promise,ill,change,ive,love,know,choir,hear,angels,sing,holy,water,falling
1fLlRApgzxWweF1JTf8yM5,wake,sweat,another,days,laid,waste,disgrace,stuck,head,feels,like,ill,never,leave,place,theres,escape,dont,know,thought,focused,scared,prepared,hyperventilate,looking,help,somehow,somewhere,one,cares
7uRznL3LcuazKpwCTpDltz,yall,somebody,tells,bout,take,another,pill,swallow,laying,going,cant,make,fool,lead,follow,play,games,blame,want,falling,living,truth,without,lies,lets,clear,goodbye,tomorrow,youve,world
5b88tNINg4Q4nrRbrCXUmg,might,seem,crazy,bout,say,sunshine,shes,take,break,hot,balloon,could,go,space,care,baby,way,huh,bad,news,talking,give,got,hold,back,probably,warn,ill,fine,offense
3S0OXQeoh0w6AY8WQVckRW,bet,felt,tried,chill,hot,melted,fell,cracks,trying,get,back,cool,run,ill,giving,bestest,nothings,going,stop,divine,intervention,reckon,turn,win,learn,listen,music,moment,people,dance
5E5MqaS6eOsbaJibl3YeMZ,skys,falling,covered,blue,running,crawling,fighting,rain,stops,darling,theres,crack,window,bird,room,angels,watch,walking,water,dreams,come,still,means,without,nothing,tell,heart,lie,deep,inside
1au9q3wiWxIwXTazIjHdfF,called,number,hundred,times,sat,listened,world,got,knees,wan,na,hold,tight,love,feet,hard,laying,heart,hands,hand,left,flowers,outside,door,dyin,killing,feel,like,man,walking
5uCax9HTNlzGybIStD3vDh,met,dark,lit,made,though,enough,danced,away,drank,much,held,hair,back,throwing,smiled,stonecold,sober,pulled,closer,chest,asked,said,already,told,ya,think,rest,knew,loved,youd
5WLSak7DN3LY1K71oWYuoN,thought,saw,devil,morning,looking,mirror,drop,rum,tongue,warning,help,see,clearer,start,fire,make,bleed,better,man,time,past,tasted,bitter,wield,iron,fist,grace,weakness,told,cold
7qjbpdk0IYijcSuSYWlXO6,cant,storys,old,heart,wan,na,fighting,youve,rocks,head,hear,rolling,round,say,falling,method,madness,pride,everyone,know,theyve,wasnt,deranged,could,pain,want,change,would,remain,supposed
2W2eaLVKv9NObcLXlYRZZo,give,damn,first,place,tables,turned,interest,involved,problem,solved,verdict,guilty,man,nearly,killed,steppin,tread,stop,drop,roll,dead,getgo,big,mouth,fucker,stupid,cocksucker,scared,dumber,thought
6G7URf5rGe6MvNoiTtNEP7,easy,making,name,draw,line,thought,id,far,fun,change,anyone,miss,gone,gon,na,need,follow,along,best,songs,tell,like,ones,changed,feel,say,mean,cant,buy,sincerity
6QPKYGnAW9QozVz2dSWqRg,settled,found,girl,married,dreams,came,TRUE,guess,gave,things,didnt,give,old,friend,shy,aint,hold,back,hide,light,yeah,know,flies,yesterday,lives,born,raised,summer,haze,bound
52UWtKlYjZO3dHoRlWuz9S,caught,middle,railroad,track,looked,round,turning,back,mind,raced,thought,sound,drums,beating,heart,guns,tore,apart,rode,highway,limit,hit,town,went,fun,met,girls,dancers,gave,good
1ExfPZEiahqhLyajhybFeS,uh,kick,feet,stare,fan,turn,tv,throw,hand,pants,nobodys,tell,cant,loungin,couch,chillin,snuggie,flip,mtv,teach,dougie,castle,freakin,tomorrow,wake,p90x,meet,girl,sex,shes
4RL77hMWUq35NYnPLXBpih,last,year,pour,little,salt,never,staring,sink,blood,crushed,veneer,tell,wreck,cut,ropes,let,right,moment,orders,tall,morning,different,holding,tickets,youll,owning,fines,happened,suckle,hope
1pSIQWMFbkJ5XvwgzKfeBv,restless,know,seen,best,heard,stories,think,taken,granted,probably,stil,times,made,meaningless,im,insecure,leaving,unless,time,meant,theres,nothing,left,excite,reason,try,still,candlelit,sky,summer
