,7uRznL3LcuazKpwCTpDltz
7uRznL3LcuazKpwCTpDltz,0.0
6g6jZTKMtMuWz5MLnfqJqJ,2.0307752272423207
2tfhqmq39kpDf1k7IJWxld,2.105253059571477
4BzEyisyti5oy7fypZt1Mr,2.1100354911045094
5YYyrTsVLzvl0vciAzJTdt,2.1779512716091207
5ZwKfj2zdMRMz9sOdNuJvc,2.216364117805446
41PiyIwNrzoLn598y2glGY,2.2190663355059503
6GRDI9suQHikFP6euIXnpq,2.2344979956254676
1Q3xOjQ4G5bgzBV4Ep03F0,2.241593203513292
39o2EPjZ1BAIFlSdJeX0jg,2.2451039062972926
2BT3luyOePuRIR1aZ6aEDK,2.247073684115655
2r6DdaSbkbwoPzuK6NjLPn,2.2567032583809645
5935qbjUXUmA0I139yFvfB,2.2636682289290118
2k9VkRK3xRW1THgajCC7Yt,2.275805666347141
0NoJJGYPmjTClPSTu3UjX0,2.2796008048171097
6dPTnLCtGHQ5zsCLe393BO,2.2864795910033466
3V0ak0F8fLXmp3hYAEQKZH,2.28867323071094
4J4wU1a0MqhrBMBN2RzFUw,2.2888507850950206
4nOKwZf1XRw2gI4FGAGhXf,2.2923496996702353
0tMSssfxAL2oV8Vri0mFHE,2.3079481842202783
7HZx6xnAjZjKpbFn9AcmQA,2.3090428001285352
