,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
1,30 Seconds to Mars - Night of the Hunter.mp3,117.45383522727273,148488,1280.0689655172414,0.42559937870468095,0.28857702080219316,0.08327669693506944,0.5501539138820215,0.24856260974483702,0.06178337096316415,0.2675767141311615,0.10833298384196757,0.011736035388104006,1.5119208867822924,7.711456642953452,59.46656355615093,-4.47225143782055,38.978784206367344,1519.3456182065524,0.007848696989872839,2.7527446570232263,7.57760314676992,0.07650875300168991,0.03839370608329773,0.001474076765589416,2916.6123838012227,863.8963017326786,746316.8201473993,2659.9334741361654,367.25329885399697,134874.98551914323,19.14750036684769,7.082910023655365,50.16761440319764,6066.621649302197,1468.3011811452734,2155908.358552605,1.146455213794535,1.4460656790333277,2.091105948078119,-0.0013748315870976305,0.057113661481943336,0.0032619703278740178,0.15127081620065788,0.0873222971394034,0.007625183577702258,-4.859587079408811e-06,0.056844405829906464,0.0032312865369021893,1.018642478811671e-06,0.04055599123239517,0.001644788309931755,2.633142857142857,1.8683970811914323,3.490907653004664
2,Absolutely - Story of A Girl.mp3,95.703125,111260,1222.6373626373627,0.4269619789960713,0.2898043559703092,0.08398656473936567,0.50770328506392,0.26304763661980596,0.06919405913126549,0.2638419618886326,0.11713561576263083,0.013720752480090689,2.3099685360990034,11.631320968449765,135.28762747109917,-1.342928628671736,31.993604580599637,1023.5907340597661,0.014486998138969495,2.3251436334193296,5.406292916030442,0.10189183801412582,0.03259905055165291,0.0010626980802044272,3356.5102224446164,850.9395144429164,724098.0572403464,2833.507875922028,342.1143799639067,117042.24897808833,19.838665883517116,6.937840455351649,48.13363018391398,6777.696516196425,1145.3670839299823,1311865.756950271,1.416515931350996,1.6242729478383637,2.638262609079528,0.006461521769340838,0.06729548497531762,0.0045286822980632,0.17510589505127708,0.0940127576595627,0.008838398602755666,7.276497058228415e-07,0.07792052626609802,0.006071608979254961,3.381840372185252e-07,0.04616212472319603,0.0021309417206794024,3.6617868480725617,1.886799564577863,3.5600125968912133
3,Ace - Futureland.mp3,99.38401442307692,124335,1268.7244897959183,0.48047837176991576,0.2762642193719478,0.07632191890519169,0.46355711835062274,0.29196650681433645,0.08524444110136598,0.245774707986807,0.1512072311872979,0.02286362676332895,16.722946273766574,94.81886727346543,8990.617591023054,6.844251934311073,30.36643515372898,922.120383945627,0.014383045631144693,1.798574467141947,3.2348701138549383,0.26506906747817993,0.08709420263767242,0.007585400715470314,2706.688820103404,1020.2598730162034,1040930.2084870394,2683.8534922768677,644.8020671749418,415769.7058330782,18.10665350624932,6.4177057388276095,41.18694695018083,5886.672737428647,2215.7124701469725,4909381.750364798,3.5636751252694636,4.047550886674119,16.382668180216445,-0.014924506263425263,0.07388006091854017,0.005458263401327207,0.12121052933920279,0.0756358747282978,0.005720785545914758,-3.844339062197832e-06,0.20768357813358307,0.043132469058036804,0.00014239772281143814,0.10983776301145554,0.012064334005117416,5.519383219954649,1.8638277342955414,3.4738538231292515
4,Alan Walker - Faded.mp3,89.10290948275862,113264,1272.629213483146,0.2940546717980011,0.2965004029273769,0.08791248893609686,0.44378345824725773,0.27285371231346167,0.0744491483232373,0.24015726332911855,0.16018059246863128,0.025657822203601733,1.0395634766122381,7.894492444734305,62.32301095996703,-3.043953484177589,61.64615583851296,3800.2485296662253,0.015562113045643434,2.23106734603065,4.9776615025242466,0.061635226011276245,0.029509516432881355,0.0008708115201443434,1916.7478984020743,1021.2298470645355,1042910.4005354547,2156.164191443298,809.1772239464867,654767.7797537427,21.37093386043437,6.007885868166718,36.09469260491736,3992.459191478812,2406.373528836236,5790633.56028376,0.694715861551471,0.8473236732314835,0.7179574072184938,-0.01149662805783003,0.08573028663941472,0.0073496820472762105,0.08498909303647446,0.05149407543375749,0.0026516398047775063,3.001479171871324e-06,0.059331540018320084,0.003520231693983078,2.1439727788674645e-05,0.0185394287109375,0.00034371038782410324,3.0174331065759636,1.9028674914996688,3.620904690206242
5,Alan Walker - Force [Instrumental].mp3,103.359375,126196,1402.1777777777777,0.2838785278710379,0.29947386966019846,0.08968459860925354,0.4067861651888121,0.2789335197293538,0.07780390842860581,0.2315125922379327,0.1724391282992524,0.029735252968606032,4.9982674401411895,60.36349936836411,3643.7520559944946,-1.391778104926368,47.98212830226518,2302.2846364150373,0.010155562387182489,1.9982571726506162,3.993031728049634,0.12879008054733276,0.0870693102478981,0.007581064943224192,2570.1047392708024,1123.4697147533677,1262184.1999680137,2359.921578098925,926.9027544754701,859148.7162542136,21.743122194449146,6.646287887756376,44.173142686937105,5328.576112162587,2656.627348055072,7057668.866434125,1.417149038627143,1.9001756023873364,3.6106673199080768,-0.0065723276873876696,0.08387110242672911,0.007034361822274886,0.12005955368372678,0.057017649521802403,0.0032510123569910935,2.9046474082861096e-05,0.1364927589893341,0.018630271777510643,0.0002924295258708298,0.044702138751745224,0.0019982813391834497,5.161795918367346,2.703216619000899,7.307380089242651
6,All American Rejects - Stab my back.mp3,135.99917763157896,173563,1276.1985294117646,0.4039707173971875,0.2942573745720329,0.08658740249002565,0.548839041541444,0.2542705071602196,0.06465349081151528,0.26825351355338334,0.10664607728181152,0.011373385799598115,14.030138966487678,73.93591122113958,5466.518968100234,6.421520541722295,23.865980944487507,569.5850464426408,0.012908992892027892,2.6304557005292386,6.919297192446767,0.24722714722156525,0.07760906964540482,0.006023168098181486,2935.205834969215,690.3281514527035,476552.9566881068,2769.768344289181,342.39911520234085,117237.15409134589,19.334790927778176,6.345849288533236,40.26980319277777,6239.012273546343,1189.432269835542,1414749.1245261293,3.4980218533210303,3.975269042488613,15.802763960168335,0.008882229674131702,0.05358345431304127,0.002871186576117781,0.14139445868808048,0.061070682455632845,0.0037296282555967413,-6.972578830755083e-06,0.18035705387592316,0.03252866491675377,-0.00013532416778616607,0.12535908818244934,0.015714900568127632,3.292589569160998,1.7086889217571786,2.9196178313357093
7,Apparat - You Dont Know Me.mp3,161.4990234375,208029,1276.2515337423313,0.290277469709369,0.303528989625983,0.09212984754337011,0.4413188300934631,0.2799706990487455,0.07838359232584322,0.23773840222771392,0.16374915401169876,0.026813785439547044,6.22120355753569,59.171893784860224,3501.3130140867797,-3.917604498904505,50.37499605633241,2537.6402276755052,0.01489230712386342,1.5418139921410314,2.3771903863618644,0.141533762216568,0.0856165811419487,0.007330199237912893,1699.5188148488517,382.41955301352584,146244.7145270649,2256.4301160521513,423.32615201993593,179205.0309840059,25.209509053025254,10.297046738916055,106.02917154342177,3716.54002659092,1276.25301431077,1628821.7565373264,1.4556172681379147,2.093071841455196,4.3809497334926455,0.004888784829055306,0.07599649242554597,0.005775466860986067,0.06233786946110681,0.026094533359374505,0.000680924671243509,6.505460987682454e-06,0.14834430813789368,0.02200603485107422,3.0302169761853293e-05,0.037757620215415955,0.0014256378635764122,1.5034920634920637,0.7176384217244279,0.5150049043351278
8,B.O.B - Soo Good.mp3,172.265625,206661,1283.608695652174,0.39096932543832086,0.3050095772229592,0.0930308421977283,0.5500350241546756,0.2626530167669654,0.0689866072167878,0.26570343090082177,0.10728247734270097,0.011509529944787145,12.175483108381243,99.71396283150504,9942.874383562768,2.2062622695897174,35.648497644111785,1270.8153842822435,0.011697552783357655,2.8910998750458132,8.358458487489916,0.2168920636177063,0.10542282462120056,0.011113972403109074,2740.8398245505523,1056.5440440919356,1116285.317106142,2532.1051491464345,801.2482077389355,641998.6904048565,21.858021332733987,11.653509763347706,135.80428980444032,5801.88575012396,2246.555068044222,5047009.673755179,2.806499046310638,3.4583002048209326,11.959840306664505,0.001755451977617348,0.05709081330096584,0.0032593609633657377,0.13871703723635836,0.0778387576831198,0.006058872197651442,4.328891918703448e-06,0.15805737674236298,0.024982133880257607,6.704108091071248e-05,0.1268111616373062,0.0160810723900795,7.793777777777779,3.590673566718086,12.89293666272798
9,Billy Talent - Fallen Leaves.mp3,123.046875,90353,971.5376344086021,0.4159739044066643,0.28769664066889755,0.08276935705216876,0.5406674602117086,0.2633045915170171,0.06932930791394323,0.2646719405148331,0.11524798148968156,0.013282097237445984,13.978795275209754,81.97919408558026,6720.588262921238,4.734415293405356,25.958512824729283,673.8443880716346,0.01055100427447806,2.7865545559845595,7.764886293478305,0.24004897475242615,0.10039139539003372,0.0100784320384264,2955.0091286712654,614.4869220541264,377594.17737555393,2610.4653157310554,401.030400123724,160825.3818233942,19.56829043773186,7.287824253998953,53.1123823571754,5987.4679612670525,1133.8416146626137,1285596.8071407229,3.459080146102545,4.066320704613715,16.53496407277018,0.013442139743991714,0.06273218584581114,0.003935327140993388,0.15557766846458979,0.05708771424264404,0.0032590071174497834,-1.4344077499117702e-05,0.18022742867469788,0.032481927424669266,6.387926987372339e-05,0.1249949187040329,0.015623730607330799,2.425324263038549,1.4072992720375912,1.9804912410775344
10,Billy Talent - Red Flag.mp3,92.28515625,102678,1207.9764705882353,0.4741610308719928,0.2915223204029492,0.08498526329311974,0.5824161654705393,0.26620021560544965,0.07086255478838788,0.26952603694915594,0.10338785586235716,0.01068904873981554,16.29698083241531,110.12653824289703,12127.854425364261,6.322901334312872,22.871724761933823,523.1157935856568,0.015448013216620496,2.865953887925788,8.21369168771694,0.266153484582901,0.08079148828983307,0.006527264602482319,3077.3606579665675,799.962430099453,639939.8895706221,2770.7461190224335,310.96187052282085,96697.28491905158,19.04323069452206,7.213234924698595,52.030758078891544,6336.136686248307,1153.0341756899618,1329487.8103090296,3.5559097777792363,4.129664297317435,17.0541272085383,0.005861350724233472,0.05943478292807953,0.0035324934217079336,0.16065964831656346,0.08053963859632143,0.006486633385226068,2.9352877390920185e-06,0.16438089311122894,0.027021078392863274,0.0008603253518231213,0.16181805729866028,0.026185084134340286,1.8993922902494333,1.0994250077185517,1.2087353475969373
